iter	Logloss
235	0.1600359063
236	0.1598414349
237	0.1596893923
238	0.1596800425
239	0.159652235
240	0.1595425022
241	0.1594541334
242	0.1593667808
243	0.1593608197
244	0.1593398367
245	0.1593292821
246	0.1592653634
247	0.1592624242
248	0.1591622238
249	0.159095912
250	0.1590458297
251	0.1589889381
252	0.1589223441
253	0.1588715593
254	0.1588540035
255	0.1588389389
256	0.1587943591
257	0.1587873876
258	0.1587861868
259	0.1587677195
260	0.1587587293
261	0.1587384586
262	0.1587308419
263	0.1587282324
264	0.1587087114
265	0.1587010455
266	0.1586945615
267	0.1586024075
268	0.1585442356
269	0.1585335479
270	0.1583958903
271	0.1583798511
272	0.158366576
273	0.1581785801
274	0.1581267672
275	0.1580091111
276	0.1579034719
277	0.1578585679
278	0.1577991908
279	0.1577346541
280	0.1576131157
281	0.1575536011
282	0.1574787628
283	0.1574392693
284	0.1574155117
285	0.1574143474
286	0.1573806017
287	0.157239506
288	0.1572227811
289	0.1571876456
290	0.1571786082
291	0.1571013302
292	0.1570140147
293	0.1570073262
294	0.156975798
295	0.1568814667
296	0.1567738912
297	0.1567127117
298	0.1567078404
299	0.1565554394
300	0.1564717443
301	0.1563567781
302	0.1563227421
303	0.156262001
304	0.156206999
305	0.1561529663
306	0.1560635599
307	0.1559938202
308	0.1559055871
309	0.1558512315
310	0.1558060089
311	0.1557650033
312	0.155718303
313	0.1556863197
314	0.1556827903
315	0.1556711826
316	0.1555707627
317	0.1554835747
318	0.1554428852
319	0.1553740168
320	0.1553171375
321	0.1552999698
322	0.1552614612
323	0.1552560187
324	0.1552516875
325	0.1551618065
326	0.1550887167
327	0.1550258026
328	0.1549561764
329	0.1548532937
330	0.1548498148
331	0.1547476231
332	0.154695365
333	0.1545880862
334	0.1545605104
335	0.1545143078
336	0.1544834678
337	0.1544204103
338	0.1543445798
339	0.1543156066
340	0.1542507472
341	0.1542153209
342	0.1541842455
343	0.1541463553
344	0.154064208
345	0.1540395004
346	0.1540190099
347	0.153991487
348	0.1539640602
349	0.1538969262
350	0.1538960863
351	0.1538734545
352	0.1538633745
353	0.1538076288
354	0.1537464622
355	0.1537445701
356	0.1537232993
357	0.1536250119
358	0.1535253152
359	0.1534823588
360	0.1534377667
361	0.1533731024
362	0.1533398756
363	0.1532938539
364	0.1532161615
365	0.1531942485
366	0.1531517019
367	0.1531425365
368	0.1531151389
369	0.1530562227
370	0.1529661975
371	0.1529596209
372	0.1529579347
373	0.152897214
374	0.1528428797
375	0.1528401204
376	0.1528242446
377	0.1527502839
378	0.1526697199
379	0.1526235379
380	0.1525777328
381	0.152476625
382	0.1523657852
383	0.1523485213
384	0.1521837231
385	0.1520710641
386	0.1519889645
387	0.1519636323
388	0.1519602041
389	0.1518689051
390	0.1518147871
391	0.1517595775
392	0.1516371503
393	0.1515890722
394	0.1514886018
395	0.1514365457
396	0.151370012
397	0.1513213243
398	0.1512521777
399	0.1511928604
400	0.1511919512
401	0.1511257045
402	0.151106758
403	0.1510539915
404	0.1510305377
405	0.1509915964
406	0.1509542168
407	0.1508680457
408	0.1507621056
409	0.1507028926
410	0.1506831105
411	0.1506691566
412	0.1505559899
413	0.150511363
414	0.1504190557
415	0.1503834965
416	0.1503397455
417	0.1503158094
418	0.1502977516
419	0.1502972297
420	0.1502801786
421	0.1502376068
422	0.1501840708
423	0.1501093802
424	0.1500973251
425	0.1500922807
426	0.1500583612
427	0.1500579013
428	0.1500443733
429	0.1499954903
430	0.1499363559
431	0.1498388328
432	0.1498059011
433	0.1497382132
434	0.1497077611
435	0.1496437349
436	0.1495895827
437	0.1494992979
438	0.1494154475
439	0.1493658283
440	0.1493566715
441	0.1493368169
442	0.149262352
443	0.1492045953
444	0.1491772925
445	0.149144921
446	0.1491099164
447	0.149079449
448	0.1490708602
449	0.1490629414
450	0.1490422244
451	0.1490083244
452	0.1490010498
453	0.1489752641
454	0.1489671902
455	0.1489460614
456	0.1489097723
457	0.1488223579
458	0.1487887496
459	0.1486981888
460	0.1486277877
461	0.1485434927
462	0.1484901884
463	0.14848166
464	0.148435326
465	0.1484135749
466	0.1483834736
467	0.148325051
468	0.1482172058
469	0.1481796486
470	0.1481176047
471	0.1481066499
472	0.1480851894
473	0.1480541648
474	0.1479779174
475	0.1479606265
476	0.147918902
477	0.1479112197
478	0.1478207805
479	0.1478076763
480	0.1477661598
481	0.1477468882
482	0.1476998687
483	0.1476759854
484	0.1476331429
485	0.1476084354
486	0.1476025563
487	0.1475423549
488	0.1475173348
489	0.1474419549
490	0.1474175208
491	0.1473981536
492	0.1473249894
493	0.1472767123
494	0.1472468867
495	0.1472014354
496	0.1471733189
497	0.1471574494
498	0.1471326505
499	0.1471253436
